light,temperature,humidity
209,20.8,63
189,21.6,65
202,22.0,64
196,20.7,66
208,21.3,63
192,22.1,65
205,20.9,64
201,21.5,63
193,22.0,66
206,20.8,64
190,21.7,65
203,21.9,63
197,20.6,66
210,21.4,64
194,22.1,65
207,20.7,63
200,21.6,64
191,22.0,66
204,20.9,64
198,21.5,65
211,22.0,63
195,20.8,66
208,21.3,64
192,21.9,65
205,20.6,64
201,21.7,63
193,22.1,66
206,20.9,64
199,21.4,65
203,22.0,63
196,20.7,66
210,21.3,64
194,21.9,65
207,20.8,64
200,21.5,65
191,22.0,63
204,20.6,66
198,21.7,64
211,21.9,65
195,20.8,63
208,21.2,66
192,22.0,64
205,20.7,65
201,21.6,63
193,21.9,66
206,20.8,64
199,21.5,65
203,22.0,64
196,20.6,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.1,63
204,20.7,66
198,21.6,64
211,21.8,65
195,20.9,63
208,21.2,66
192,22.0,64
205,20.6,65
201,21.5,63
193,21.9,66
206,20.8,64
199,21.4,65
203,22.1,64
196,20.7,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.0,63
204,20.6,66
198,21.7,64
211,21.9,65
195,20.8,63
208,21.2,66
192,21.9,64
205,20.7,65
201,21.6,63
193,22.0,66
206,20.8,64
199,21.5,65
203,22.0,64
196,20.6,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.1,63
204,20.7,66
198,21.6,64
211,21.8,65
195,20.9,63
208,21.2,66
192,22.0,64
205,20.6,65
201,21.5,63
193,21.9,66
206,20.8,64
199,21.4,65
203,22.1,64
196,20.7,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.0,63
204,20.6,66
198,21.7,64
211,21.9,65
195,20.8,63
208,21.2,66
192,21.9,64
205,20.7,65
201,21.6,63
193,22.0,66
206,20.8,64
199,21.5,65
203,22.0,64
196,20.6,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.1,63
204,20.7,66
198,21.6,64
211,21.8,65
195,20.9,63
208,21.2,66
192,22.0,64
205,20.6,65
201,21.5,63
193,21.9,66
206,20.8,64
199,21.4,65
203,22.1,64
196,20.7,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.0,63
204,20.6,66
198,21.7,64
211,21.9,65
195,20.8,63
208,21.2,66
192,21.9,64
205,20.7,65
201,21.6,63
193,22.0,66
206,20.8,64
199,21.5,65
203,22.0,64
196,20.6,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.1,63
204,20.7,66
198,21.6,64
211,21.8,65
195,20.9,63
208,21.2,66
192,22.0,64
205,20.6,65
201,21.5,63
193,21.9,66
206,20.8,64
199,21.4,65
203,22.1,64
196,20.7,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.0,63
204,20.6,66
198,21.7,64
211,21.9,65
195,20.8,63
208,21.2,66
192,21.9,64
205,20.7,65
201,21.6,63
193,22.0,66
206,20.8,64
199,21.5,65
203,22.0,64
196,20.6,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.1,63
204,20.7,66
198,21.6,64
211,21.8,65
195,20.9,63
208,21.2,66
192,22.0,64
205,20.6,65
201,21.5,63
193,21.9,66
206,20.8,64
199,21.4,65
203,22.1,64
196,20.7,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.0,63
204,20.6,66
198,21.7,64
211,21.9,65
195,20.8,63
208,21.2,66
192,21.9,64
205,20.7,65
201,21.6,63
193,22.0,66
206,20.8,64
199,21.5,65
203,22.0,64
196,20.6,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.1,63
204,20.7,66
198,21.6,64
211,21.8,65
195,20.9,63
208,21.2,66
192,22.0,64
205,20.6,65
201,21.5,63
193,21.9,66
206,20.8,64
199,21.4,65
203,22.1,64
196,20.7,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.0,63
204,20.6,66
198,21.7,64
211,21.9,65
195,20.8,63
208,21.2,66
192,21.9,64
205,20.7,65
201,21.6,63
193,22.0,66
206,20.8,64
199,21.5,65
203,22.0,64
196,20.6,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.1,63
204,20.7,66
198,21.6,64
211,21.8,65
195,20.9,63
208,21.2,66
192,22.0,64
205,20.6,65
201,21.5,63
193,21.9,66
206,20.8,64
199,21.4,65
203,22.1,64
196,20.7,65
210,21.3,63
194,21.8,66
207,20.9,64
200,21.4,65
191,22.0,63
204,20.6,66
198,21.7,64
211,21.9,65
195,20.8,63
208,21.2,66
192,21.9,64
205,20.7,65
201,21.6,63
193,22.0,66
206,20.8,64
199,21.5,65
203,22.0,64
196,20.6,65
